ID	Gender	Age	Race
17	1	80	5
305	1	73	2
2983	0	88	1
3334	1	82	2
4495	1	73	1
1497	0	84	1
4744	1	84	3
4605	1	79	2
4065	0	65	5
306	1	71	5
1865	1	73	5
2292	0	79	2
1131	0	72	4
1425	0	66	3
2093	1	77	5
4669	1	95	5
4310	0	67	5
1016	0	73	5
2584	1	89	4
622	1	83	4
2936	1	78	1
821	0	90	3
2024	0	77	3
909	1	75	1
2183	0	92	4
3037	1	68	4
3688	0	78	2
1475	1	77	1
1684	0	78	5
2324	1	75	4
1949	1	73	3
2197	1	93	1
4656	0	89	2
1194	0	75	2
2709	1	65	2
2995	1	74	1
1352	0	88	2
1743	1	75	5
4767	1	72	1
4647	0	73	1
2206	1	79	5
1840	0	94	1
1288	1	83	3
2915	0	93	2
4706	0	94	3
838	1	71	3
4349	1	95	2
556	1	65	2
1962	0	83	3
3473	0	84	4
1966	1	76	1
1585	0	73	2
1267	0	72	2
2155	0	68	1
1146	0	71	5
1085	0	76	5
2682	0	73	4
3330	0	66	4
3189	1	89	5
3890	1	67	1
867	1	72	5
3918	1	92	2
4929	0	91	2
3544	0	73	5
3770	0	74	4
3861	0	85	3
253	1	69	1
2561	1	89	4
229	0	80	2
1061	1	85	3
2305	1	92	5
3491	1	95	1
1232	0	89	4
125	0	95	3
2657	0	66	2
2310	0	82	3
1677	0	85	2
2022	0	68	1
1562	0	75	5
654	0	68	3
3383	1	86	2
12	0	89	2
1081	0	66	2
4684	1	95	4
1213	1	70	5
4362	0	90	1
1275	1	75	5
2174	1	83	3
1023	0	66	2
2497	0	78	5
3672	0	69	4
2102	1	74	5
2930	0	72	3
1824	1	69	1
1038	1	89	2
2906	0	67	1
3431	1	86	2
3679	1	70	2
428	0	89	1
1449	1	87	5
454	1	68	5
3025	0	70	5
33	1	91	2
1407	0	67	5
87	1	67	1
2866	1	73	2
4086	1	88	4
3148	0	77	1
109	1	84	5
4679	1	67	1
1640	1	90	1
3213	0	67	4
2098	1	83	3
3502	1	87	2
3302	0	75	1
3406	1	65	5
3479	0	84	4
2445	0	65	1
2645	1	75	5
